"Player","Span","Mat","Inns","NO","Runs","HS","Ave","100","50","0","InningsURL"
"Nazar Mohammad (PAK)","1952-1952",5,8,1,277,"124*",39.57,1,1,1,"https://stats.espncricinfo.com/ci/engine/player/42068.html?class=1;template=results;type=batting;view=innings"
"IM Barrow (WI)","1930-1939",11,19,2,276,"105",16.23,1,0,3,"https://stats.espncricinfo.com/ci/engine/player/51303.html?class=1;template=results;type=batting;view=innings"
"Saleem Altaf (PAK)","1967-1978",21,31,12,276,"53*",14.52,0,1,4,"https://stats.espncricinfo.com/ci/engine/player/42616.html?class=1;template=results;type=batting;view=innings"
"SL Malinga (SL)","2004-2010",30,37,13,275,"64",11.45,0,1,9,"https://stats.espncricinfo.com/ci/engine/player/49758.html?class=1;template=results;type=batting;view=innings"
"SR Harmer (SA)","2015-2025",14,20,4,273,"47",17.06,0,0,0,"https://stats.espncricinfo.com/ci/engine/player/432960.html?class=1;template=results;type=batting;view=innings"
"WA Johnston (AUS)","1947-1955",40,49,25,273,"29",11.37,0,0,7,"https://stats.espncricinfo.com/ci/engine/player/6041.html?class=1;template=results;type=batting;view=innings"
"GJ Thompson (ENG)","1909-1910",6,10,1,273,"63",30.33,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/21528.html?class=1;template=results;type=batting;view=innings"
"Abdul Kadir (PAK)","1964-1965",4,8,0,272,"95",34,0,2,2,"https://stats.espncricinfo.com/ci/engine/player/38971.html?class=1;template=results;type=batting;view=innings"
"JC Alabaster (NZ)","1955-1972",21,34,6,272,"34",9.71,0,0,2,"https://stats.espncricinfo.com/ci/engine/player/36175.html?class=1;template=results;type=batting;view=innings"
"WE Midwinter (AUS/ENG)","1877-1887",12,21,1,269,"37",13.45,0,0,1,"https://stats.espncricinfo.com/ci/engine/player/6605.html?class=1;template=results;type=batting;view=innings"
"OA Shah (ENG)","2006-2009",6,10,0,269,"88",26.9,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/20123.html?class=1;template=results;type=batting;view=innings"
"JC Archer (ENG)","2019-2025",18,29,4,268,"51",10.72,0,1,3,"https://stats.espncricinfo.com/ci/engine/player/669855.html?class=1;template=results;type=batting;view=innings"
"MJ Susskind (SA)","1924-1924",5,8,0,268,"65",33.5,0,4,0,"https://stats.espncricinfo.com/ci/engine/player/47259.html?class=1;template=results;type=batting;view=innings"
"Khaled Mahmud (BAN)","2001-2003",12,23,1,266,"45",12.09,0,0,4,"https://stats.espncricinfo.com/ci/engine/player/55952.html?class=1;template=results;type=batting;view=innings"
"S Shillingford (WI)","2010-2014",16,26,6,266,"53*",13.3,0,1,7,"https://stats.espncricinfo.com/ci/engine/player/52997.html?class=1;template=results;type=batting;view=innings"
"A Lyth (ENG)","2015-2015",7,13,0,265,"107",20.38,1,0,1,"https://stats.espncricinfo.com/ci/engine/player/251721.html?class=1;template=results;type=batting;view=innings"
"G Motie (WI)","2022-2025",11,17,5,265,"55",22.08,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/670045.html?class=1;template=results;type=batting;view=innings"
"Rubel Hossain (BAN)","2009-2020",27,47,19,265,"45*",9.46,0,0,7,"https://stats.espncricinfo.com/ci/engine/player/300619.html?class=1;template=results;type=batting;view=innings"
"MJF Shrimpton (NZ)","1963-1974",10,19,0,265,"46",13.94,0,0,6,"https://stats.espncricinfo.com/ci/engine/player/38388.html?class=1;template=results;type=batting;view=innings"
"GA Bartlett (NZ)","1961-1968",10,18,1,263,"40",15.47,0,0,4,"https://stats.espncricinfo.com/ci/engine/player/36288.html?class=1;template=results;type=batting;view=innings"
"GC Small (ENG)","1986-1991",17,24,7,263,"59",15.47,0,1,4,"https://stats.espncricinfo.com/ci/engine/player/20217.html?class=1;template=results;type=batting;view=innings"
"GTS Stevens (ENG)","1922-1930",10,17,0,263,"69",15.47,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/20369.html?class=1;template=results;type=batting;view=innings"
"V Subramanya (IND)","1965-1968",9,15,1,263,"75",18.78,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/34215.html?class=1;template=results;type=batting;view=innings"
"RRS Cornwall (WI)","2019-2023",10,17,3,261,"73",18.64,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/494581.html?class=1;template=results;type=batting;view=innings"
"SM Ervine (ZIM)","2003-2004",5,8,0,261,"86",32.62,0,3,1,"https://stats.espncricinfo.com/ci/engine/player/55414.html?class=1;template=results;type=batting;view=innings"
"RW Price (ZIM)","1999-2013",22,38,8,261,"36",8.7,0,0,6,"https://stats.espncricinfo.com/ci/engine/player/55698.html?class=1;template=results;type=batting;view=innings"
"Taskin Ahmed (BAN)","2017-2024",17,29,5,261,"75",10.87,0,1,3,"https://stats.espncricinfo.com/ci/engine/player/538506.html?class=1;template=results;type=batting;view=innings"
"AN Connolly (AUS)","1963-1971",29,45,20,260,"37",10.4,0,0,10,"https://stats.espncricinfo.com/ci/engine/player/4613.html?class=1;template=results;type=batting;view=innings"
"RG Hart (NZ)","2002-2003",11,19,3,260,"57*",16.25,0,1,4,"https://stats.espncricinfo.com/ci/engine/player/37239.html?class=1;template=results;type=batting;view=innings"
"Akram Khan (BAN)","2000-2003",8,16,0,259,"44",16.18,0,0,0,"https://stats.espncricinfo.com/ci/engine/player/56221.html?class=1;template=results;type=batting;view=innings"
"DM Lewis (WI)","1971-1971",3,5,2,259,"88",86.33,0,3,0,"https://stats.espncricinfo.com/ci/engine/player/52342.html?class=1;template=results;type=batting;view=innings"
"T Kaitano (ZIM)","2021-2025",6,12,0,258,"87",21.5,0,1,3,"https://stats.espncricinfo.com/ci/engine/player/493765.html?class=1;template=results;type=batting;view=innings"
"KJ O'Brien (IRE)","2018-2019",3,6,1,258,"118",51.6,1,1,0,"https://stats.espncricinfo.com/ci/engine/player/24605.html?class=1;template=results;type=batting;view=innings"
"EC Petrie (NZ)","1955-1966",14,25,5,258,"55",12.9,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/38123.html?class=1;template=results;type=batting;view=innings"
"Arshad Ayub (IND)","1987-1989",13,19,4,257,"57",17.13,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/26290.html?class=1;template=results;type=batting;view=innings"
"Manjural Islam Rana (BAN)","2004-2004",6,11,1,257,"69",25.7,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/55991.html?class=1;template=results;type=batting;view=innings"
"DM Wellham (AUS)","1981-1987",6,11,0,257,"103",23.36,1,0,0,"https://stats.espncricinfo.com/ci/engine/player/8198.html?class=1;template=results;type=batting;view=innings"
"J Selby (ENG)","1877-1882",6,12,1,256,"70",23.27,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/20102.html?class=1;template=results;type=batting;view=innings"
"Shaheen Shah Afridi (PAK)","2018-2025",33,45,10,256,"29*",7.31,0,0,12,"https://stats.espncricinfo.com/ci/engine/player/1072470.html?class=1;template=results;type=batting;view=innings"
"NGRP Jayasuriya (SL)","2022-2025",22,34,2,255,"28*",7.96,0,0,6,"https://stats.espncricinfo.com/ci/engine/player/422871.html?class=1;template=results;type=batting;view=innings"
"BB Chari (ZIM)","2014-2018",7,14,0,254,"80",18.14,0,2,2,"https://stats.espncricinfo.com/ci/engine/player/427178.html?class=1;template=results;type=batting;view=innings"
"Dilawar Hussain (IND)","1934-1936",3,6,0,254,"59",42.33,0,3,0,"https://stats.espncricinfo.com/ci/engine/player/28092.html?class=1;template=results;type=batting;view=innings"
"W Flowers (ENG)","1884-1893",8,14,0,254,"56",18.14,0,1,0,"https://stats.espncricinfo.com/ci/engine/player/12860.html?class=1;template=results;type=batting;view=innings"
"HV Hordern (AUS)","1911-1912",7,13,2,254,"50",23.09,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/5706.html?class=1;template=results;type=batting;view=innings"
"ADG Roberts (NZ)","1976-1976",7,12,1,254,"84*",23.09,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/38253.html?class=1;template=results;type=batting;view=innings"
"R Swetman (ENG)","1959-1960",11,17,2,254,"65",16.93,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/20436.html?class=1;template=results;type=batting;view=innings"
"Khalid Ibadulla (PAK)","1964-1967",4,8,0,253,"166",31.62,1,0,0,"https://stats.espncricinfo.com/ci/engine/player/41039.html?class=1;template=results;type=batting;view=innings"
"EH Bowley (ENG)","1929-1930",5,7,0,252,"109",36,1,0,0,"https://stats.espncricinfo.com/ci/engine/player/9184.html?class=1;template=results;type=batting;view=innings"
"TB Burtt (NZ)","1947-1953",10,15,3,252,"42",21,0,0,1,"https://stats.espncricinfo.com/ci/engine/player/36316.html?class=1;template=results;type=batting;view=innings"
"NF Druce (ENG)","1897-1898",5,9,0,252,"64",28,0,1,0,"https://stats.espncricinfo.com/ci/engine/player/11940.html?class=1;template=results;type=batting;view=innings"
"CM Francois (SA)","1922-1923",5,9,1,252,"72",31.5,0,1,0,"https://stats.espncricinfo.com/ci/engine/player/45074.html?class=1;template=results;type=batting;view=innings"
"PA McAlister (AUS)","1904-1909",8,16,1,252,"41",16.8,0,0,0,"https://stats.espncricinfo.com/ci/engine/player/6536.html?class=1;template=results;type=batting;view=innings"
"HGO Owen-Smith (SA)","1929-1929",5,8,2,252,"129",42,1,1,0,"https://stats.espncricinfo.com/ci/engine/player/46691.html?class=1;template=results;type=batting;view=innings"
"Sohail Khan (PAK)","2009-2016",9,12,2,252,"65",25.2,0,1,0,"https://stats.espncricinfo.com/ci/engine/player/317252.html?class=1;template=results;type=batting;view=innings"
"AJL Hill (ENG)","1896-1896",3,4,0,251,"124",62.75,1,1,0,"https://stats.espncricinfo.com/ci/engine/player/14196.html?class=1;template=results;type=batting;view=innings"
"CRD Fernando (SL)","2000-2012",40,47,17,249,"39*",8.3,0,0,8,"https://stats.espncricinfo.com/ci/engine/player/48835.html?class=1;template=results;type=batting;view=innings"
"G Geary (ENG)","1924-1934",14,20,4,249,"66",15.56,0,2,3,"https://stats.espncricinfo.com/ci/engine/player/13347.html?class=1;template=results;type=batting;view=innings"
"KT Kasuza (ZIM)","2020-2021",7,12,1,249,"63",22.63,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/453274.html?class=1;template=results;type=batting;view=innings"
"VJ Marks (ENG)","1982-1984",6,10,1,249,"83",27.66,0,3,0,"https://stats.espncricinfo.com/ci/engine/player/16899.html?class=1;template=results;type=batting;view=innings"
"HH Massie (AUS)","1881-1885",9,16,0,249,"55",15.56,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/6517.html?class=1;template=results;type=batting;view=innings"
"Abdur Razzak (BAN)","2006-2018",13,22,6,248,"43",15.5,0,0,1,"https://stats.espncricinfo.com/ci/engine/player/56283.html?class=1;template=results;type=batting;view=innings"
"SR Clark (AUS)","2006-2009",24,26,7,248,"39",13.05,0,0,5,"https://stats.espncricinfo.com/ci/engine/player/4582.html?class=1;template=results;type=batting;view=innings"
"EJ Gray (NZ)","1983-1988",10,16,0,248,"50",15.5,0,1,0,"https://stats.espncricinfo.com/ci/engine/player/37103.html?class=1;template=results;type=batting;view=innings"
"AW Roberts (NZ)","1930-1937",5,10,1,248,"66*",27.55,0,3,0,"https://stats.espncricinfo.com/ci/engine/player/38254.html?class=1;template=results;type=batting;view=innings"
"J Yadav (IND)","2016-2022",6,9,1,248,"104",31,1,1,0,"https://stats.espncricinfo.com/ci/engine/player/447587.html?class=1;template=results;type=batting;view=innings"
"MHW Papps (NZ)","2004-2007",8,16,1,246,"86",16.4,0,2,4,"https://stats.espncricinfo.com/ci/engine/player/38111.html?class=1;template=results;type=batting;view=innings"
"TJ Zoehrer (AUS)","1986-1987",10,14,2,246,"52*",20.5,0,1,0,"https://stats.espncricinfo.com/ci/engine/player/8468.html?class=1;template=results;type=batting;view=innings"
"C Bosch (SA)","2024-2025",4,6,2,245,"100*",61.25,1,1,1,"https://stats.espncricinfo.com/ci/engine/player/594322.html?class=1;template=results;type=batting;view=innings"
"BA Davis (WI)","1965-1965",4,8,0,245,"68",30.62,0,3,0,"https://stats.espncricinfo.com/ci/engine/player/51640.html?class=1;template=results;type=batting;view=innings"
"RB Kenny (IND)","1958-1960",5,10,1,245,"62",27.22,0,3,2,"https://stats.espncricinfo.com/ci/engine/player/30066.html?class=1;template=results;type=batting;view=innings"
"FA Lowson (ENG)","1951-1955",7,13,0,245,"68",18.84,0,2,2,"https://stats.espncricinfo.com/ci/engine/player/16360.html?class=1;template=results;type=batting;view=innings"
"RK Nunes (WI)","1928-1930",4,8,0,245,"92",30.62,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/52635.html?class=1;template=results;type=batting;view=innings"
"FC Hayes (ENG)","1973-1976",9,17,1,244,"106*",15.25,1,0,6,"https://stats.espncricinfo.com/ci/engine/player/14106.html?class=1;template=results;type=batting;view=innings"
"W Madhevere (ZIM)","2021-2025",8,15,1,244,"84",17.42,0,1,6,"https://stats.espncricinfo.com/ci/engine/player/938959.html?class=1;template=results;type=batting;view=innings"
"Shuvagata Hom (BAN)","2014-2016",8,15,4,244,"50",22.18,0,1,3,"https://stats.espncricinfo.com/ci/engine/player/402992.html?class=1;template=results;type=batting;view=innings"
"XM Marshall (WI)","2005-2009",7,12,0,243,"85",20.25,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/52626.html?class=1;template=results;type=batting;view=innings"
"Mehrab Hossain jnr (BAN)","2007-2009",7,13,1,243,"83",20.25,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/56031.html?class=1;template=results;type=batting;view=innings"
"JB Mortimore (ENG)","1959-1964",9,12,2,243,"73*",24.3,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/17111.html?class=1;template=results;type=batting;view=innings"
"JW Trumble (AUS)","1885-1886",7,13,1,243,"59",20.25,0,1,1,"https://stats.espncricinfo.com/ci/engine/player/7978.html?class=1;template=results;type=batting;view=innings"
"Ali Naqvi (PAK)","1997-1998",5,9,1,242,"115",30.25,1,0,0,"https://stats.espncricinfo.com/ci/engine/player/38994.html?class=1;template=results;type=batting;view=innings"
"SF Barnes (ENG)","1901-1914",27,39,9,242,"38*",8.06,0,0,8,"https://stats.espncricinfo.com/ci/engine/player/8996.html?class=1;template=results;type=batting;view=innings"
"CD Gopinath (IND)","1951-1960",8,12,1,242,"50*",22,0,1,4,"https://stats.espncricinfo.com/ci/engine/player/28855.html?class=1;template=results;type=batting;view=innings"
"James Langridge (ENG)","1933-1946",8,9,0,242,"70",26.88,0,1,0,"https://stats.espncricinfo.com/ci/engine/player/16195.html?class=1;template=results;type=batting;view=innings"
"D Williams (WI)","1992-1998",11,19,1,242,"65",13.44,0,1,7,"https://stats.espncricinfo.com/ci/engine/player/53230.html?class=1;template=results;type=batting;view=innings"
"Mehrab Hossain (BAN)","2000-2003",9,18,0,241,"71",13.38,0,1,2,"https://stats.espncricinfo.com/ci/engine/player/55970.html?class=1;template=results;type=batting;view=innings"
"JE Mills (NZ)","1930-1933",7,10,1,241,"117",26.77,1,0,2,"https://stats.espncricinfo.com/ci/engine/player/37721.html?class=1;template=results;type=batting;view=innings"
"SLV Raju (IND)","1990-2001",28,34,10,240,"31",10,0,0,3,"https://stats.espncricinfo.com/ci/engine/player/33044.html?class=1;template=results;type=batting;view=innings"
"C Bannerman (AUS)","1877-1879",3,6,2,239,"165*",59.75,1,0,0,"https://stats.espncricinfo.com/ci/engine/player/4091.html?class=1;template=results;type=batting;view=innings"
"Naved-ul-Hasan (PAK)","2004-2007",9,15,3,239,"42*",19.91,0,0,2,"https://stats.espncricinfo.com/ci/engine/player/42272.html?class=1;template=results;type=batting;view=innings"
"JC White (ENG)","1921-1931",15,22,9,239,"29",18.38,0,0,1,"https://stats.espncricinfo.com/ci/engine/player/22408.html?class=1;template=results;type=batting;view=innings"
"LE Plunkett (ENG)","2005-2014",13,20,5,238,"55*",15.86,0,1,7,"https://stats.espncricinfo.com/ci/engine/player/19264.html?class=1;template=results;type=batting;view=innings"
"AW Carr (ENG)","1922-1929",11,13,1,237,"63",19.75,0,1,0,"https://stats.espncricinfo.com/ci/engine/player/10666.html?class=1;template=results;type=batting;view=innings"
"FB Smith (NZ)","1947-1952",4,6,1,237,"96",47.4,0,2,0,"https://stats.espncricinfo.com/ci/engine/player/38394.html?class=1;template=results;type=batting;view=innings"
"S Wazir Ali (IND)","1932-1936",7,14,0,237,"42",16.92,0,0,1,"https://stats.espncricinfo.com/ci/engine/player/35940.html?class=1;template=results;type=batting;view=innings"
"G Dymock (AUS)","1974-1980",21,32,7,236,"31*",9.44,0,0,7,"https://stats.espncricinfo.com/ci/engine/player/4999.html?class=1;template=results;type=batting;view=innings"
"CN Frank (SA)","1921-1921",3,6,0,236,"152",39.33,1,0,0,"https://stats.espncricinfo.com/ci/engine/player/45075.html?class=1;template=results;type=batting;view=innings"
"DE Malcolm (ENG)","1989-1997",40,58,19,236,"29",6.05,0,0,16,"https://stats.espncricinfo.com/ci/engine/player/16885.html?class=1;template=results;type=batting;view=innings"
"KU Carty (WI)","2024-2025",7,14,0,235,"42",16.78,0,0,2,"https://stats.espncricinfo.com/ci/engine/player/820677.html?class=1;template=results;type=batting;view=innings"
"PT Collins (WI)","1999-2006",32,47,7,235,"24",5.87,0,0,14,"https://stats.espncricinfo.com/ci/engine/player/51479.html?class=1;template=results;type=batting;view=innings"
"Hasan Raza (PAK)","1996-2005",7,10,1,235,"68",26.11,0,2,1,"https://stats.espncricinfo.com/ci/engine/player/40378.html?class=1;template=results;type=batting;view=innings"
"JNT Seales (WI)","2021-2025",26,45,18,235,"32",8.7,0,0,9,"https://stats.espncricinfo.com/ci/engine/player/1199304.html?class=1;template=results;type=batting;view=innings"
"Nayeem Hasan (BAN)","2018-2025",14,22,5,235,"26",13.82,0,0,1,"https://stats.espncricinfo.com/ci/engine/player/932635.html?class=1;template=results;type=batting;view=innings"
"LG Pretorius (SA)","2025-2025",2,3,0,235,"153",78.33,1,1,0,"https://stats.espncricinfo.com/ci/engine/player/1385640.html?class=1;template=results;type=batting;view=innings"
